,tweet_count,tweet_source,tweet_text,tweet_date,tweet_comp_score,tweet_neg_score,tweet_pos_score,tweet_neu_score
43,43,CNN,"Father, son accused of killing their neighbor over dispute about a box spring https://t.co/cs3sAo7YiO https://t.co/HKxSQIxnbY",Sat Sep 22 21:45:08 +0000 2018,-0.8519,0.458,0.0,0.542
44,44,CNN,Homeland Security Secretary Kirstjen Nielsen says FEMA administrator Brock Long will reimburse the federal governme… https://t.co/yoqUTY0zPn,Sat Sep 22 21:30:10 +0000 2018,0.34,0.0,0.138,0.862
45,45,CNN,Finland has produced more Formula One champions per capita than any other country in the world. What is it about th… https://t.co/vC17NrkU00,Sat Sep 22 21:15:05 +0000 2018,0.5667,0.0,0.149,0.851
46,46,CNN,New Jersey sheriff steps down after uproar over racist remarks https://t.co/fXU3JVltyR https://t.co/vtzMJ7AWed,Sat Sep 22 21:00:05 +0000 2018,-0.6124,0.267,0.0,0.733
47,47,CNN,Woman charged with attempted murder in New York day care stabbings https://t.co/z7bYmLWzDu https://t.co/5eWyvgGLrd,Sat Sep 22 20:45:04 +0000 2018,-0.5106,0.33,0.162,0.508
48,48,CNN,"Federal judge says ""meaningful closure"" could be soon in family reunifications https://t.co/fYRoZffAkG https://t.co/PKvxwNhZZn",Sat Sep 22 20:30:17 +0000 2018,0.3182,0.0,0.161,0.839
49,49,CNN,It really is OK for your children to watch television (and it's OK for you to admit they do it). Here's why you sho… https://t.co/l34bs4c7Qa,Sat Sep 22 20:15:07 +0000 2018,0.8032,0.0,0.272,0.728
50,50,CNN,What happened between Deputy Attorney General Rod Rosenstein and former FBI Deputy Director Andrew McCabe before sp… https://t.co/f2ueZeaZ13,Sat Sep 22 20:00:13 +0000 2018,0.0,0.0,0.0,1.0
51,51,CNN,"A software firm. A municipal building. A drugstore distribution center. In a 24-hour span, three ordinary places of… https://t.co/d0B8FmooBh",Sat Sep 22 19:45:06 +0000 2018,0.0,0.0,0.0,1.0
52,52,CNN,The first day of fall has arrived. Here are 5 things you probably didn't know about the season:… https://t.co/LwZTmeX8Z6,Sat Sep 22 19:30:12 +0000 2018,0.0,0.0,0.0,1.0
